Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count
56224080,"Rationality: What It Is, Why It Seems Scarce, Why It Matters",Steven Pinker,"Pinker, Steven",,0241380278,9780241380277,0,3.9,Allen Lane,Hardcover,432,2021,2021,,08-01-22,to-read,to-read (#575),to-read,0
765420,Autobiographies: Charles Darwin,Charles Darwin,"Darwin, Charles","Michael Neve, Sharon Messenger",0140433902,9780140433906,5,3.84,Penguin Classics,paper,128,2002,1887,08-01-22,02-01-22,,,read,1
18521,A Room of One's Own,Virginia Woolf,"Woolf, Virginia",,0141183535,9780141183534,0,4.18,Penguin Books,Paperback,112,2000,1929,,05-01-22,to-read,to-read (#574),to-read,0
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,152473165X,9781524731656,0,4.38,Knopf Publishing Group,Hardcover,339,2018,2018,,05-01-22,to-read,to-read (#573),to-read,0
26093265,Inheritance,Thomas Wymark,"Wymark, Thomas",,,,0,3.82,Thomas Wymark,Kindle Edition,556,2015,2015,,11-12-21,currently-reading,currently-reading (#2),currently-reading,1
6740213,Natural Experiments of History,Jared Diamond,"Diamond, Jared",James A. Robinson,0674035577,9780674035577,0,3.59,Belknap Press,Hardcover,278,2010,2010,,31-12-21,to-read,to-read (#572),to-read,0
34447296,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,,,5,4.03,W. W. Norton & Company,Kindle Edition,528,2017,1997,31-12-21,05-01-20,,,read,1
196546,The Great Human Diasporas: The History Of Diversity And Evolution,Luigi Luca Cavalli-Sforza,"Cavalli-Sforza, Luigi Luca","Francesco Cavalli-Sforza, Heather Mimnaugh, Sarah Thorne",0201442310,9780201442311,0,4.09,Basic Books,Paperback,320,1996,1995,,31-12-21,to-read,to-read (#571),to-read,0
404414,The History and Geography of Human Genes,Luigi Luca Cavalli-Sforza,"Cavalli-Sforza, Luigi Luca","Paolo Menozzi, Alberto Piazza",0691029059,9780691029054,0,4.34,Princeton University Press,Paperback,432,1996,1994,,31-12-21,to-read,to-read (#570),to-read,0
55277221,When Plants Took Over the Planet: The Amazing Story of Plant Evolution,Chris Thorogood,"Thorogood, Chris",Amy  Grimes,0711261288,9780711261280,0,4.67,QEB Publishing,Hardcover,64,2021,,,27-12-21,to-read,to-read (#569),to-read,0
